Company Name,Geography,Geography Code,Sector,CA100 Company?,Large/Medium Classification,ISINs,SEDOL,Publication Date,Assessment Date,Level,Performance compared to previous year,Q1L0|Does the company acknowledge climate change as a significant issue for the business?,Q2L1|Does the company recognise climate change as a relevant risk and/or opportunity for the business?,Q3L1|Does the company have a policy (or equivalent) commitment to action on climate change?,Q4L2|Has the company set greenhouse gas emission reduction targets?,Q5L2|Has the company published information on its Scope 1 and 2 greenhouse gas emissions?,Q6L3|Has the company nominated a board member or board committee with explicit responsibility for oversight of the climate change policy?,Q7L3|Has the company set quantitative targets for reducing its greenhouse gas emissions?,Q8L3|Does the company report on Scope 3 emissions?,Q9L3|Has the company had its operational (Scope 1 and/or 2) greenhouse gas emissions data verified?,Q10L3|Does the company support domestic and international efforts to mitigate climate change?,Q11L3|Does the company have a process to manage climate-related risks?,Q12L3|Does the company disclose materially important Scope 3 emissions?,Q13L4|Has the company set long-term quantitative targets for reducing its greenhouse gas emissions?,Q14L4|Does the company's remuneration for senior executives incorporate climate change performance?,Q15L4|Does the company incorporate climate change risks and opportunities in their strategy?,Q16L4|Does the company undertake climate scenario planning?,Q17L4|Does the company disclose an internal price of carbon?,Q18L4|Does the company disclose the actions necessary to meet its emissions-reduction targets?,Q19L5|Does the company quantify the key elements of its emissions reduction strategy and the proportional impact of each action in achieving its targets?,Q20L5|Does the company's transition plan clarify the role that will be played by offsets and/or negative emissions technologies?,Q21L5|Does the company commit to phasing out capital expenditure on carbon intensive assets or products?,Q22L5|Does the company align future capital expenditures with its long-term decarbonisation goals and disclose how the alignment is determined?,Q23L5|Does the company ensure consistency between its climate change policy and the positions taken by trade associations of which it is a member?
Element Solutions,United States of America,USA,Chemicals,No,small,US28618M1062,BJ1C2K1,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,Yes,No,No,No,No,No
Eli Lilly,United States of America,USA,Consumer Goods,No,large,US5324571083,2516152,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Elia Group,Belgium,BEL,Electricity Utilities,No,medium,BE0003822393,B09M9F4,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
Emera,Canada,CAN,Electricity Utilities,No,small,CA2908761018,2650050,01/11/2023,31/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Emerson Electric,United States of America,USA,Other Industrials,No,large,US2910111044,2313405,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Empresas COPEC,Chile,CHL,Coal Mining,No,large,CLP7847L1080,2196026,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Ems Chemie,Switzerland,CHE,Chemicals,No,large,CH0016440353,7635610,01/11/2023,10/05/2023,1,unchanged,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Enagas,Spain,ESP,Oil & Gas Distribution,No,medium,ES0130960018,7383072,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Enbridge,Canada,CAN,Oil & Gas Distribution,Yes,large,CA29250N1050,2466149;2478906,01/11/2023,21/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
Enbw Energie,Germany,DEU,Electricity Utilities,No,large,DE0005220008,5341102,01/11/2023,24/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No
Ence Energia y Celulosa,Spain,ESP,Paper,No,small,ES0130625512,B1W7BK2,01/11/2023,25/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Endesa,Spain,ESP,Electricity Utilities,No,large,ES0130670112,5271782,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Enel,Italy,ITA,Electricity Utilities,Yes,large,IT0003128367,7144569,01/11/2023,28/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes
Enel Americas,Chile,CHL,Electricity Utilities,No,small,CLP371861061,2299453,01/11/2023,28/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Eneos (Coal Mining),Japan,JPN,Coal Mining,Yes,large,JP3386450005,B627LW9,01/11/2023,01/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Eneos (Oil & Gas),Japan,JPN,Oil & Gas,Yes,large,JP3386450005,B627LW9,01/11/2023,01/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Energisa,Brazil,BRA,Electricity Utilities,No,medium,BRENGICDAM16,B56XQT8,01/11/2023,26/04/2023,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Energy Transfer,United States of America,USA,Oil & Gas Distribution,No,unlisted,US29278N1037,BD9H2Z1,01/11/2023,24/04/2023,2,unchanged,Yes,Yes,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Eneva,Brazil,BRA,Electricity Utilities,No,medium,BRENEVACNOR8,BFWHKM5,01/11/2023,24/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Engie,France,FRA,Electricity Utilities,Yes,large,FR0010208488,B0C2CQ3,01/11/2023,12/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Engie Brasil,Brazil,BRA,Electricity Utilities,No,large,BREGIEACNOR9,BD1WX84,01/11/2023,05/05/2023,1,new,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Eni,Italy,ITA,Oil & Gas,Yes,large,IT0003132476,7145056,01/11/2023,17/04/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Enlight Renewable Energy,Israel,ISR,Electricity Utilities,No,medium,IL0007200111,6767677,01/11/2023,26/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Entergy,United States of America,USA,Electricity Utilities,No,medium,US29364G1031,2317087,01/11/2023,27/03/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Equinix,United States of America,USA,Services,No,large,US29444U7000,BVLZX12,01/11/2023,26/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Equinor,Norway,NOR,Oil & Gas,Yes,large,NO0010096985,7133608,01/11/2023,03/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,Yes
Equitrans Midstream,United States of America,USA,Oil & Gas Distribution,No,small,US2946001011,BFMWBV6,01/11/2023,03/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Erdemir,Turkey,TUR,Steel,No,medium,TRAEREGL91G3,B03MS97,01/11/2023,25/04/2023,2,unchanged,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
EssilorLuxottica,France,FRA,Consumer Goods,No,large,FR0000121667,7212477,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,No,Yes,No,No,No,Yes,No,No,No,No,No
Essity Aktiebolag,Sweden,SWE,Consumer Goods,No,large,SE0009922164,BF1K7P7,01/11/2023,20/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Evergreen Marine,Taiwan,TWN,Shipping,No,medium,TW0002603008,6324500,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Evergy,United States of America,USA,Electricity Utilities,No,medium,US30034W1062,BFMXGR0,01/11/2023,01/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,No,No,No,No,No,No,No
Eversource Energy,United States of America,USA,Electricity Utilities,No,medium,US30040W1080,BVVN4Q8,01/11/2023,05/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
Evonik Industries,Germany,DEU,Chemicals,No,medium,DE000EVNK013,B5ZQ9D3,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No,No
Evraz,United Kingdom,GBR,Steel,No,medium,GB00B71N6K86,B71N6K8,01/11/2023,11/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Exelon,United States of America,USA,Electricity Utilities,No,large,US30161N1019,2670519,01/11/2023,08/05/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,No,Yes,No,No,No,No,No
Exor,Italy,ITA,Services,No,large,NL0012059018,BYSLCX9,01/11/2023,25/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Exxaro Resources,South Africa,ZAF,Coal Mining,No,medium,ZAE000084992,6418801,01/11/2023,19/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No
Exxon Mobil,United States of America,USA,Oil & Gas,Yes,large,US30231G1022,2326618,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
FMC,United States of America,USA,Chemicals,No,medium,US3024913036;US53814LXX18,2328603;BJ31F29,01/11/2023,03/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No
FUJIFILM,Japan,JPN,Other Industrials,No,large,JP3814000000,6356525,01/11/2023,31/03/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Fast Retailing,Japan,JPN,Services,No,large,JP3802300008,6332439,01/11/2023,07/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Not Applicable,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Fedex Corporation,United States of America,USA,Services,No,large,US31428X1063,2142784,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Femsa,Mexico,MEX,Other Industrials,No,large,MXP320321310,2242059,01/11/2023,28/04/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,No,Yes,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Feng Hsin Iron & Steel,Taiwan,TWN,Steel,No,small,TW0002015005,6335030,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,No,No,Yes,Yes,Not Applicable,Yes,No,No,No,No,Yes,No,No,No,No,No
Ferrari,Italy,ITA,Autos,No,large,NL0011585146,BD6G507;BZ1GMK5,01/11/2023,19/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No,No,No
Ferrexpo,United Kingdom,GBR,Steel,No,small,GB00B1XH2C03,B1XH2C0,01/11/2023,11/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Not Applicable,Yes,Yes,No,Yes,No,No,No,No,No,No,No
First Steamship,Taiwan,TWN,Shipping,No,small,TW0002601002,6339991,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Firstenergy,United States of America,USA,Electricity Utilities,Yes,medium,US3379321074,2100920,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,Yes,No,No
Fletcher Building,New Zealand,NZL,Cement,No,medium,NZFBUE0001S0,6341606;6341617,01/11/2023,27/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Flowers Foods,United States of America,USA,Food Producers,No,small,US3434981011,2744243,01/11/2023,05/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Fomento De Construc Y Contratas,Spain,ESP,Cement,No,small,ES0122060314,5787115,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Ford,United States of America,USA,Autos,Yes,large,US3453708600,2615468,01/11/2023,16/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Yes
Ford Otosan,Turkey,TUR,Autos,No,large,TRAOTOSN91H6,B03MSR5,01/11/2023,10/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,No,No
Formosa Chemicals & Fibre,Taiwan,TWN,Chemicals,No,large,TW0001326007,6348715,01/11/2023,08/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Formosa Petrochemical,Taiwan,TWN,Oil & Gas,Yes,large,TW0006505001,6718716,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Formosa Plastics,Taiwan,TWN,Chemicals,No,large,TW0001301000,6348544,01/11/2023,10/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,No,No,Yes,No,No,No
Fortescue,Australia,AUS,Diversified Mining,No,large,AU000000FMG4,6086253,01/11/2023,19/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No
Fortis,Canada,CAN,Electricity Utilities,No,medium,CA3495531079,2347200,01/11/2023,25/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,No,Yes,No,No,No,No,No
Fortum,Finland,FIN,Electricity Utilities,Yes,large,FI0009007132,5579550,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,No
Foshan Haitian Flavouring and Food,China,CHN,Food Producers,No,large,CNE100001SL2,BJ3KJC4,01/11/2023,17/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Freeport-McMoRan,United States of America,USA,Diversified Mining,No,medium,US35671D8570,2352118,01/11/2023,31/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,No,Yes
Fresenius,Germany,DEU,Services,No,large,DE0005785604,4352097,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,No,No,No,No,No,No
Freshpet,United States of America,USA,Food Producers,No,small,US3580391056,BS7K7M9,01/11/2023,10/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Fuchs Petrolub,Germany,DEU,Chemicals,No,medium,DE000A3E5D64,BNHRG84,01/11/2023,28/04/2023,1,new,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No
Fujitsu,Japan,JPN,Consumer Goods,No,large,JP3818000006,6356945,01/11/2023,24/04/2023,4,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,No,Yes,Yes,Yes,Yes,No,No,No,No,No
GRAFTECH INTERNATIONAL,United States of America,USA,Steel,No,small,US3843135084,BFZP4T1,01/11/2023,24/04/2023,2,new,Yes,Yes,Yes,No,Yes,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Gail India,India,IND,Oil & Gas,No,large,INE129A01019,6133405,01/11/2023,17/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,No,Yes,Yes,No,Yes,No,No,No,No,No
Galp Energia,Portugal,PRT,Oil & Gas,No,large,PTGAL0AM0009,B1FW751,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Geely,China,CHN,Autos,No,large,KYG3777B1032,6531827,01/11/2023,02/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No
General Dynamics,United States of America,USA,Other Industrials,No,large,US3695501086,2365161,01/11/2023,28/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,Yes,No,No,No,No,No,No,No,No
General Electric,United States of America,USA,Other Industrials,Yes,large,US3696043013;US3696041033;US369604XX60,BL59CR9;3311613;BJLMPK2,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Not Applicable,Yes,No,No,Yes,No,Yes,No,No,No,No,Yes
General Mills,United States of America,USA,Food Producers,No,large,US3703341046,2367026,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No
General Motors,United States of America,USA,Autos,Yes,large,US37045V1008,B665KZ5,01/11/2023,05/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Gerdau,Brazil,BRA,Steel,No,large,BRGGBRACNOR1;BRGGBRACNPR8;US3737371050,2645443;2645517;2297606,01/11/2023,24/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,Yes,No,No,No,Yes,No,No,No,No,No
Gibson Energy,Canada,CAN,Oil & Gas Distribution,No,small,CA3748252069,B44WH97,01/11/2023,11/05/2023,5,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Givaudan,Switzerland,CHE,Chemicals,No,large,CH0010645932,5980613,01/11/2023,04/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No
Glencore (Aluminium),United Kingdom,GBR,Aluminium,Yes,large,JE00B4T3BW64,B4T3BW6;BG6MV64,01/11/2023,17/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Glencore (Coal Mining),United Kingdom,GBR,Coal Mining,Yes,large,JE00B4T3BW64,B4T3BW6;BG6MV64,01/11/2023,17/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Glencore (Diversified Mining),United Kingdom,GBR,Diversified Mining,Yes,large,JE00B4T3BW64,B4T3BW6;BG6MV64,01/11/2023,17/04/2023,4,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,No,No
Global Power Synergy,Thailand,THA,Electricity Utilities,No,large,TH6488010005,BWX43R0,01/11/2023,24/04/2023,5,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Not Applicable,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No
Great Eastern Shipping,India,IND,Shipping,No,small,INE017A01032,B1GKL41,01/11/2023,11/03/2023,1,unchanged,Yes,No,Yes,Yes,Yes,No,Yes,No,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Great Wall Motor Company,China,CHN,Autos,No,large,CNE100000338;CNE1000018V8,6718255;B3WXMX4;BP3R325,01/11/2023,17/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Grindrod Shipping,South Africa,ZAF,Shipping,No,small,SG9999019087,BFZ8GH2,01/11/2023,17/04/2023,1,new,Yes,No,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
Gruma,Mexico,MEX,Food Producers,No,large,MXP4948K1056,2392545,01/11/2023,01/05/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,No,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No
Grupo Argos,Colombia,COL,Cement,Yes,large,COT09PA00035;COT09PA00043,B8SGSP6;B8JBYR4,01/11/2023,26/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,Not Applicable,Yes,No,No,Yes,No,No,No,No,No,No,No
Grupo Bimbo,Mexico,MEX,Food Producers,No,large,MXP495211262,2392471,01/11/2023,04/05/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,No,No,No
Grupo Carso,Mexico,MEX,Steel,No,large,MXP461181085,2393452,01/11/2023,25/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
Grupo Mexico,Mexico,MEX,Diversified Mining,Yes,large,MXP370841019,2643674,01/11/2023,25/04/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No
Guanghui Energy,China,CHN,Coal Mining,No,small,CNE0000012G4,6247964,01/11/2023,17/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Guangzhou Automobile Group,China,CHN,Autos,No,small,CNE100001NQ2,B7TC005,01/11/2023,24/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
Guizhou Panjiang Refined Coal,China,CHN,Coal Mining,No,small,CNE0000017V2,6345040,01/11/2023,24/04/2023,1,new,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No,No
Gulf Energy Development,Thailand,THA,Electricity Utilities,No,large,TH8319010Z06,BLR5MP3,01/11/2023,27/03/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Not Applicable,Yes,No,No,No,No,No,No,No,No,No,No
H.B. Fuller,United States of America,USA,Chemicals,No,small,US3596941068,2354664,01/11/2023,26/04/2023,3,new,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,Yes,No,Yes,No,No,No,No,No,No,No,No
HCA Healthcare,United States of America,USA,Services,No,large,US40412C1018,B4MGBG6,01/11/2023,17/04/2023,2,new,Yes,Yes,Yes,No,Yes,Yes,No,No,Yes,No,Yes,Not Applicable,No,No,No,No,No,No,No,No,No,No,No
HF Sinclair,United States of America,USA,Oil & Gas,No,medium,US4361061082,B5VX1H6,01/11/2023,05/05/2023,3,unchanged,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,No,Yes,No,Yes,No,No,No,No,No,No,No,No,No,No
